"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CATEGORY","CLASS","COMMENT","DIELECTRIC","DIELETRIC","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","TOLERANCE","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_CAP_NO_POL","","","*","","Part Number","*","","*","*","","","","","","","","","","","","","xxyF","xxV","*","C?","Description"
"*MODEL_CAP_POL","","","*","","Part Number","","","*","*","","","","","","","","","","","","","xxyF","xxV","*","C?","Description"
"06033C104JAT2A","C0603_MD","","Ceramic","","06033C104JAT2A","X7R","","AVX","SMD","Digi-Key","Allied","Farnell","Mouser","Newark","","478-3713-1-ND","70001398","1740614","581-06033C104JAT2A","55J3913","","0.1uF","25V","*","C?","CAP CER 0.1UF 25V 5% X7R 0603"
"06035A180JAT2A","C0603_MD","","Capacitor","","06035A180JAT2A","","","AVX Corporation","SMD","Newark","Newark","Farnell","Digi-Key","","","90R7639","17C6481","1710190","478-1166-6-ND","","","18pF","50V","*","C?","CAP CER 18PF 50V C0G/NP0 0603"
"08051C223JAT2A","C0805_HD","","Ceramic Capacitor","","08051C223JAT2A","XR7","","AVX Corporation","SMD","Arrow","Digi-Key","","","","","b1YfjW63iU57WBw10Mp1pG2qehBQvfzUihEl6jb0mZQ","478-3747-1-ND","","","","","0.022uF","100V","*","C?","CAP CER 0.022UF 100V X7R 0805"
"1206GC102KAT1AJ","C1206_MD","","Ceramic","","1206GC102KAT1AJ","X7R","","AVX Corporation","SMD","Digi-Key","","","","","","478-9959-1-ND","","","","","","1000pF","2000V","*","C?","CAP CER 1000PF 2KV X7R 1206"
"500R07S0R5AV4T","C0402_HD","","Ceramic","","500R07S0R5AV4T","NP0","","Johanson Technology Inc.","SMD","Mouser","Farnell","Digi-Key","","","","609-500R07S0R5AV4T","1650777","712-1247-1-ND","","","","0.5pF","50V","*","C?","CAP CER 0.50PF 50V NP0 0402"
"860010678024","CAP_EL_5X10MM","","Aluminum Capacitors","","860010678024","","","Wurth Electronics Inc.","","Dig-Key","Newark","Farnell","Digi-Key","","","732-8676-3-ND","40Y3463","2465748","732-8676-1-ND","","","1000 uF","50V","","C?","1000µF 50V Aluminum Capacitors Radial, Can 2000 Hrs @ 85°C"
"885012207086","C0805_HD","","Capacitor","","885012207086","X7R","","Wurth Electronics Inc.","SMD","Digi-Key","Farnell","","","","","732-8068-6-ND","2495195RL","","","","","0.1uF","50V","*","C?","CAP CER 1000PF 50V X7R 0805"
"A104K15X7RF5TAA","CAP_NP_DUAL_0.1_0.2","","Ceramic Capacitors","","A104K15X7RF5TAA","X7R","","Vishay BC Components","PTH","Newark","Allied","Digi-Key","","","","95C0843","70122957","1109PHCT-ND","","","","0.1uF","50V","*","C?","CAP CER 0.1UF 50V X7R AXIAL"
"A472K15X7RF5TAA","CAP_CER_DISK 0.1","","Ceramic Capacitors","","A472K15X7RF5TAA","X7R","","Vishay BC Components","PTH","Farnell","Newark","Mouser","Digi-Key","","","3321903","95C0876","594-A472K15X7RF5TAA","1102PHCT-ND","","","4700pF","50V","*","C?","CAP CER 4700PF 50V X7R AXIAL"
"APXC160ARA270ME60G","CAP_EL_SMD_C","","Aluminum","","APXC160ARA270ME60G","","","United Chemi-Con","SMD","Digi-Key","Mouser","","","","","565-3127-1-ND","661-PXC16VC27RM","","","","","27uF","16V","*","C?","CAP ALUM 27UF 16V 20% SMD"
"B32641B0103J","CAP_CER_NP 5mm & 10mm-square","","Film Capacitors","","B32641B0103J","Polypropylene (PP), Metallized","","EPCOS (TDK)","PTH","Mouser","Digi-Key","","","","","871-B32641B0103J","495-7120-ND","","","","","10nF","1000V","*","C?","CAP FILM 10000PF 5% 1000VDC RAD"
