"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","MANUFACTURER","MANUFACTURER PART NUMBER 1","MOUNT TYPE","MOUNTING TYPE","N OF POSITIONS","PARTNUMBER","PITCH","PUBLISHED","PUBLISHER","ROLL SPACING","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_CONNECTOR_1LIN","","","Part Number","","","","*","","*","","*","","*","","","","","","","","","","","","","","","","*","*","CN?","Description"
"*MODEL_CONNECTOR_2LIN","","","Part Number","","","","*","","*","","*","","*","","","","","","","","","","","","","","","","*","*","CN?","Description"
"0430452028","MICROFIT 2x10M 3.0MM 180GRAUS","","0430452028","","","","Molex, LLC","","Through Hole","","20","","0.118" (3.00mm)","","","","Digi-Key","","","","","","WM10733-ND","","","","","","0430452028","*","CN?","MICROFIT 3.0 VERT TH HDR DR 15AU 0430452028"
"0430452228","MICROFIT 2x11M 3.0MM 180GRAUS","","0430452228","","","","Molex, LLC","","Through Hole","","22","","0.118" (3.00mm)","","","","Digi-Key","","","","","","WM10740-ND","","","","","","0430452228","*","CN?","MICROFIT 3.0 VERT TH HDR DR 15AU 0430452228"
"0430452428","MICROFIT 2x12M 3.0MM 180GRAUS","","0430452428","","","","Molex, LLC","","Through Hole","","24","","0.118" (3.00mm)","","","","Digi-Key","","","","","","WM10746-ND","","","","","","*","*","CN?","MICROFIT 3.0 VERT TH HDR DR 15AU"
"0532610271","PICO BLADE 0532610271","","0532610271","","","","Molex","","SMD","","3","","1.25mm","","","","","","","","","","","","","","","","0532610371","*","CN?","CONN HEADER SMD R/A 2POS 1.25MM"
"0532610371","PICO BLADE 0532610371","","0532610371","","","","Molex","","SMD","","3","","1.25mm","","","","","","","","","","","","","","","","0532610371","*","CN?","CONN HEADER SMD R/A 3POS 1.25MM"
"0532610471","PICO BLADE 0532610471","","0532610471","","","","Molex","","SMD","","4","","1.25mm","","","","","","","","","","","","","","","","0532610471","*","CN?","CONN HEADER SMD R/A 4POS 1.25MM"
"0532610571","PICO BLADE 0532610571","","0532610571","","","","Molex","","SMD","","5","","1.25mm","","","","","","","","","","","","","","","","0532610571","*","CN?","CONN HEADER SMD R/A 5POS 1.25MM"
"0532610671","PICO BLADE 0532610671","","0532610671","","","","Molex","","SMD","","6","","1.25mm","","","","","","","","","","","","","","","","0532610671","*","CN?","CONN HEADER SMD R/A 6POS 1.25MM"
"0532610771","PICO BLADE 0532610771","","0532610771","","","","Molex","","SMD","","7","","1.25mm","","","","","","","","","","","","","","","","0532610771","*","CN?","CONN HEADER SMD R/A 7POS 1.25MM"
"0532610871","PICO BLADE 0532610871","","0532610871","","","","Molex","","SMD","","8","","1.25mm","","","","","","","","","","","","","","","","0532610871","*","CN?","CONN HEADER SMD R/A 8POS 1.25MM"
"0532610971","PICO BLADE 0532610971","","0532610971","","","","Molex","","SMD","","9","","1.25mm","","","","","","","","","","","","","","","","0532610971","*","CN?","CONN HEADER SMD R/A 9POS 1.25MM"
"0532611071","PICO BLADE 0532611071","","0532611071","","","","Molex","","SMD","","10","","1.25mm","","","","","","","","","","","","","","","","0532611071","*","CN?","CONN HEADER SMD R/A 10POS 1.25MM"
"0734150961","MMCX JACK 0734150961","","0734150961","","","","Molex","","SMD","","1","","*","","","","Newark","Mouser","Digi-Key","","","","53R2348","538-73415-0961","WM5550-ND","","","","0734150961","*","CN?","CONN MMCX JACK 50 OHM EDGE MNT"
"09455511102","RJ45 CONN MOD JACK 8P8C R/A SHIELDED","","09455511102","","","","Harting","","PTH","","8","","2.54mm","","","","Digi-Key","Digi-Key","","","","","","1195-2207-ND","","","","","09455511102","*","CN?","RJ45 CONN MOD JACK 8P8C R/A SHIELDED"
"1-1740195-2","DB9 HOR SMD MALE 1-1740195-2","","1-1740195-2","","","","TE Connectivity","","SMD","","9","","-","","","","Newark","Digi-Key","Avnet","","","","16R9549","A109023CT-ND","1-1740195-2","","","","1-1740195-2","*","CN?","CONN DSUB PLUG 9POS SMD R/A SLDR"
"1-215297-2","HEADER 12 2.54mm 180 GRAUS","","1-215297-2","","","","TE Connectivity","","PTH","","12","","2.54mm","","","","Farnell","Newark","Digi-Key","Mouser","Arrow","","3419137","98K4864","1-215297-2-ND","571-1-215297-2","4802830","","Header 12 2.54mm 180°","*","CN?","CONN RCPT 12POS .100 VERT T/H"
"10118194-0001LF","MICRO USB B 90GRAUS","","10118194-0001LF","","","","FCI","","PTH","","5","","0.65mm","","","","Digi-Key","Farnell","Mouser","Newark","","","609-4618-1-ND","1645325","649-10118194-0001LF","67T2260","","","10118194-0001LF","*","CN?","CONN USB MICRO B RECPT SMT R/A"
"10127721-041LF","MICROFIT 2x2M 3.0MM 180GRAUS","","10127721-041LF","","","","Amphenol FCI","","PTH","","4","","3mm","","","","Digi-Key","Newark","Farnell","","","","609-4859-ND","80X2628","2463286","","","","10127721-041LF","*","CN?","4 Positions Plug Connector 0.118" (3.00mm) Through Hole Tin"
"10127721-061LF","MICROFIT 2x3M 3.0MM 180GRAUS","","10127721-061LF","","","","Amphenol FCI","","PTH","","6","","3mm","","","","Digi-Key","Newark","Farnell","","","","609-4860-ND","80X2630","2463287","","","","10127721-061LF","*","CN?","6 Positions Plug Connector 0.118" (3.00mm) Through Hole Tin"
"10127721-082LF","MICROFIT 2x4M 3.0MM 180GRAUS","","10127721-082LF","","","","Amphenol FCI","","PTH","","8","","3mm","","","","Digi-Key","","","","","","609-5069-ND","","","","","","10127721-082LF","*","CN?","8 Positions Plug Connector 0.118" (3.00mm) Through Hole Tin"
"1037920000","1037920000","","1037920000","","","","Weidmuller","1037920000","PTH","","6","","3.81mm","","","","Digi-Key","","","","","","1037920000-ND","","","","","","SC 3.81/06/270G 3.2SN BK BX","*","CN?","TERM BLOCK HDR 6POS 90DEG 3.81mm"
"104346-1","PIN BAR 3 2.54mm 180 GRAUS","","104346-1","","","","TE Connectivity","","PTH","","3","","2.54mm","","","","Digi-Key","Mouser","","","","","A111696-ND","571-104346-1","","","","","104346-1","*","CN?","CONN HDR BRKWAY 3POS VERT TIN"
"1051330001","MICRO USB B 180GRAUS","","1051330001","","","","Molex","","PTH","","5","","0.65mm","","","","Mouser","Digi-Key","","","","","538-105133-0001","WM9734CT-ND","","","","","1051330001","*","CN?","MICRO USB B REC. VERTICAL TYPE"
"1051330001_DUAL","MICRO USB B DUAL FOOTPRINT","","1051330001_DUAL","","","","Molex","","PTH","","5","","0.65mm","","","","Mouser","Digi-Key","","","","","538-105133-0001","WM9734CT-ND","","","","","1051330001","*","CN?","MICRO USB B REC. VERTICAL TYPE"
"128-0711-201","128-0711-201","","128-0711-201","","","","Cinch Connectivity Solutions Johnson","","SMD","","2","","*","","","","Digi-Key","Mouser","","","","","J983CT-ND","530-1280711201","","","","","128-0711-201","*","CN?","CONN UMC RCPT STR 50 OHM SMD"
"1586037-4","MINIFIT 2x2M 4.2MM 180GRAUS","","1586037-4","","","","TE Connectivity AMP Connectors","","Through Hole","","4","","4.2mm","","","","Farnell","Digi-Key","Newark","","","","8115940","A30603-ND","39K1309","","","","1586037-4","*","CN?","CONN HEADER 4POS VERT W/O PEGS"
"1715721","TBLOCK 2x5.08","","1715721","","","","Phoenix Contact","","PTH","","2","","5.08mm","","","","Digi-Key","Farnell","Mouser","Newark","","","277-1263-ND","3041529","651-1715721","14N5627","","","1715721","*","CN?","CONN TERM BLOCK 2POS 5.08MM PCB"
"1793340000","SC 3.81/03/90F","","1793340000","","","","Weidmuller","","PTH","","3","","3.81mm","","","","Farnell","Digi-Key","","","","","2077133","1793340000-ND","","","","","1793340000","*","CN?","TERM BLOCK HDR 3POS 90DEG 3.81MM"
"1793560000","1793560000","","1793560000","","","","","","","","","","","","","","Digi-Key","","","","","","1793560000-ND","","","","","","SC 3.81/06/180G 3.2SN BK BX","*","CN?","PCB plug-in connector, male header, closed side, THT solder connection, 3.81 mm, No. of poles: 6, 180°, Solder pin length (l): 3.2 mm, tinned, Black, Box"
