"LIBRARYREFERENCE","FOOTPRINT1","CATEGORY","COMMENT","MANUFACTURER","MOUNT TYPE","PART NUMBER","POWER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_BRIDGE","","*","*","*","*","","","","","","","","","","","","","","","xxxA","xxxV","*","D?","Description"
"*MODEL_DIODE","","Rectifier","Part Number","*","*","","","","","","","","","","","","","","","xxxA","xxxV","*","D?","Description"
"*MODEL_LED","","LED","Part Number","*","*","","","","","","","","","","","","","","","color","xxV","*","LED?","Description"
"*MODEL_LED_BI_COLOR","","LED","Part Number","*","*","","","","","","","","","","","","","","","RG","xxV/yyV","*","LED?","Description"
"*MODEL_LED_BI_COLOR_2","","LED","Part Number","*","*","","","","","","","","","","","","","","","RG","xxV/yyV","*","LED?","Description"
"*MODEL_LED_TRI_COLOR","","LED","Part Number","*","*","","","","","","","","","","","","","","","RGB","xxV/yyV/zzV","*","LED?","Description"
"*MODEL_SCHOTTKY","","Schottky","Part Number","*","*","","","","","","","","","","","","","","","xxxA","xxxV","*","D?","Description"
"*MODEL_TVS","","TVS","Part Number","*","*","","xxW","","","","","","","","","","","","","xxV","","*","D?","Description"
"*MODEL_ZENER","","Zener","Part Number","*","*","","xxW","","","","","","","","","","","","","xxV","","*","D?","Description"
"1.5SMC36A","DO-214AB SMC","TVS","1.5SMC36A","Bourns Inc.","SMD","","1500W","Digi-Key","","","","","","1.5SMC36ABBCT-ND","","","","","","49.9V","","*","D?","TVS DIODE 30.8VWM 49.9VC DO214AB"
"150080SS75000","L0805 RED","","150080SS75000","Wurth Electronics Inc.","SMD","","","Farnell","Digi-Key","","","","","2322078","732-4985-6-ND","","","","","RED","1.9V","*","LED?","LED RED CLEAR 0805 SMD"
"150080VS75000","L0805 GREEN","","150080VS75000","Wurth Electronics Inc.","SMD","","","Digi-Key","Farnell","","","","","732-4986-1-ND","2322081","","","","","GREEN","2V","*","LED?","LED GREEN CLEAR 0805 SMD"
"150080YS75000","L0805 YELLOW","","150080YS75000","Wurth Electronics Inc.","SMD","","","Newark","Digi-Key","Farnell","Digi-Key","Digi-Key","","95W3804","732-4987-2-ND","2322082","732-4987-1-ND","732-4987-6-ND","","Yellow","2V","*","LED?","LED YELLOW CLEAR 0805 SMD"
"151031VS06000","151031VS06000","","151031VS06000","Wurth Electronics Inc.","Through Hole","","","Newark","Farnell","Digi-Key","","","","95W3825","2322130","732-5008-ND","","","","Green","2.2V","*","LED?","LED GRN DIFF 3MM ROUND T/H"
"156125M173000","L1206 RGB ROUND REVERSE","","156125M173000","Wurth Electronics Inc.","SMD","","","Farnell","Digi-Key","Newark","","","","2765007","732-11426-1-ND","22AC3296","","","","RGB","2V/3.3V/3.3V","*","LED?","LED RGB CLEAR SMD"
"156125RV73000","L1206 BICOLOR ROUND","","156125RV73000","Wurth Electronics Inc.","SMD","","","Newark","Farnell","Digi-Key","","","","22AC3299","2765010","732-11429-1-ND","","","","RG","2.1V/2V","*","LED?","Description"
"1N4007-T","DO-204AL","Rectifier","1N4007-T","Diodes Incorporated","PTH","","","Farnell","Digi-Key","Mouser","Newark","","","1843698","1N4007DICT-ND","750-1N4007T-G","12T2304","","","1A","1000V","*","D?","DIODE GEN PURP 1KV 1A DO41"
"1N4148TR","DO-204AL","Rectifier","1N4148TR","Fairchild Semiconductor","PTH","","","Farnell","Newark","Mouser","Digi-Key","","","1782479","83C2425","512-1N4148","1N4148VSCT-ND","","","200mA","100V","*","D?","DIODE GEN PURP 100V 200MA DO35"
"1N4148W-E3-18","SOD-123","Rectifier","1N4148W-E3-18","Vishay Semiconductor Diodes Division","SMD","","","Newark","Digi-Key","Mouser","Farnell","","","43X2686","1N4148W-E3-18CT-ND","78-1N4148W-E3-08","2377282","","","150mA","75V","*","D?","DIODE GEN PURP 75V 150MA SOD123"
"1N4746AFSCT-ND","DO-204AL - ZENER","Zener","1N4746AFSCT-ND","Fairchild Semiconductor","PTH","","1W","Digi-Key","Mouser","Farnell","","","","1N4746AFSCT-ND","512-1N4746ATR","2453733","","","","18V","","*","D?","DIODE ZENER 18V 1W DO41"
"1N5819HW-7-F","SOD-123","Schottky","1N5819HW-7-F","Diodes Incorporated","SMD","","","Digi-Key","Mouser","Farnell","Newark","","","1N5819HW-FDICT-ND","621-1N5819HW-F","1773475","51R7874","","","1A","40V","*","D?","DIODE SCHOTTKY 40V 1A SOD123"
"5976001607F","L1206 RED ROUND REVERSE","","5976001607F","Dialight","SMD","","","Newark","Digi-Key","Farnell","","","","06P3488","350-2312-1-ND","1760712","","","","RED","2V","*","LED?","LED RED CLEAR 1206 SMD"
"5976301607F","L1206 GREEN ROUND REVERSE","","5976301607F","Dialight","SMD","","","Digi-Key","Arrow","Newark","","","","350-2310-1-ND","jDo53zdUazVR209LoJPoSj7ff4RV9Nr14zgbARHC_hE","06P3497","","","","GREEN","3.3V","*","LED?","LED GREEN CLEAR 1206 SMD"
"APA3010SGC-GX","L3010 GREEN","","APA3010SGC-GX","Kingbright","SMD","","","Digi-Key","Newark","","","","","754-1586-1-ND","92F3652","","","","","GREEN","2.2V","*","LED?","Green 568nm LED Indication Discrete 2.2V Clear Lens 2-SMD, No Lead"
"APA3010SRCPRV-GX","L3010 RED","","APA3010SRCPRV-GX","Kingbright","SMD","","","Digi-Key","Newark","","","","","754-1577-1-ND","93K6500","","","","","RED","1.85V","*","LED?","Red 640nm LED Indication Discrete 1.85V Clear Lens 2-SMD, No Lead"
