"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","CURRENT","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_IND","","Part Number","xxA","*","*","","","","","","","","","","","","","xxyH","*","L?","Description"
"*MODEL_IND_COM","","Part Number","xxA","*","*","","","","","","","","","","","","","xxyH","*","L?","Description"
"*MODEL_IND_COM_REV","","Part Number","xxA","*","*","","","","","","","","","","","","","xxyH","*","L?","Description"
"*MODEL_IND_CORE","","Part Number","xxA","*","*","","","","","","","","","","","","","xxyH","*","L?","Description"
"744272251","WE-SL5 SERIES","744272251","2A","Wurth Electronics Inc","SMD","Digi-Key","Farnell","Mouser","Newark","","","732-1491-1-ND","1848207","710-744272251","13T9739","","","250uH","*","L?","CHOKE COM MODE 2 X 250UH 2.0A"
"7447462100","IND_PTH_5mm","7447462100","2.5A","Wurth Electronics Inc","PTH","Farnell","Mouser","Digi-Key","","","","1848266","710-7447462100","732-2569-ND","","","","10uH","*","L?","FIXED IND 10UH 2.5A 80 MOHM TH"
"7447779006","7447779006","7447779006","2.91A","Wurth Electronics Inc","SMD","Digi-Key","","","","","","732-1190-1-ND","","","","","","6.8uH","*","L?","FIXED IND 6.8UH 2.91A 35 MOHM"
"B82422H1332K000","L1210","B82422H1332K000","770mA","EPCOS (TDK)","SMD","Farnell","Avnet","Digi-Key","Newark","","","1299972RL","B82422H1332K","495-2646-1-ND","25M8337","","","3.3uH","*","L?","FIXED IND 3.3UH 770MA 180 MOHM"
"B82731M2601A30","EE-20 CHOKE","B82731M2601A30","0.6A","EPCOS (TDK)","PTH","Mouser","Newark","Digi-Key","","","","871-B82731M2601A30","06J1344","495-2766-ND","","","","39mH","*","L?","D CORE DBL CHOKE 39MH 0.6A VERT"
"BLM18EG101TN1D","L0603","BLM18EG101TN1D","2A","Murata Electronics North America","SMD","Digi-Key","Farnell","Mouser","","","","490-5978-1-ND","1515714","81-BLM18EG101TN1D","","","","100R","*","L?","FERRITE CHIP 100 OHM 2A 0603"
"BLM18EG221SN1D","L0603","BLM18EG221SN1D","2A","Murata Electronics North America","SMD","Avnet","Digikey","Arrow","Farnell","","","BLM18EG221SN1D","490-3992-1-ND","BLM18EG221SN1D**MULT1","1515716","","","220R","*","L?","FERRITE BEAD 220 OHM 0603 1LN"
"DR06080100","IND_PTH_5mm","DR06080100","2.5A","MGS","PTH","","","","","","","","","","","","","10uH","*","L?","FIXED IND 10UH 2.5A"
"DR08100047","IND_PTH_5mm","DR08100047","2.5A","MGS","PTH","","","","","","","","","","","","","4.7uH","*","L?","FIXED IND 4.7UH 2.5A"
"HK160812NJ-T","L0603","HK160812NJ-T","300mA","Taiyo Yuden","SMD","Mouser","Newark","Digi-Key","Farnell","","","963-HK160812NJ-T","74M2718","587-1546-1-ND","1515374","","","12nH","*","L?","FIXED IND 12NH 300MA 280 MOHM"
"LQG15HS18NJ02D","L0402","LQG15HS18NJ02D","300mA","Murata Electronics North America","SMD","Mouser","Digi-Key","Farnell","","","","81-LQG15HS18NJ02D","490-2626-1-ND","1404293","","","","18nH","*","L?","FIXED IND 18NH 300MA 360 MOHM"
"LQG15HS3N3S02D","L0402","LQG15HS3N3S02D","300mA","Murata Electronics North America","SMD","Mouser","Farnell","Digi-Key","","","","81-LQG15HS3N3S02D","1669635","490-2616-1-ND","","","","3.3nH","*","L?","FIXED IND 3.3NH 300MA 170 MOHM"
