"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","CATEGORY","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","DATASHEETS","DATASHEETVERSION","DIELECTRIC","MANUFACTURER","MOUN TYPE","MOUNT TYPE","MOUNTING TYPE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PUBLISHED","PUBLISHER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER 8","SUPPLIER 9","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","SUPPLIER PART NUMBER 8","SUPPLIER PART NUMBER 9","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_CI","","","","*","","Part Number","","","","","","","","","","*","","*","","","","","","","","","","","","","","","","","","","","","","","","","*","","*","U?","Description"
"24FC1025T-I/SN","SOIC-8","","","Memory","","24FC1025T-I/SN","","","","","","","","","","Microchip","","SMD","","","","","","","Mouser","Newark","Digi-Key","","","","","","","579-24FC1025T-I/SN","86W6593","24FC1025-I/SN-ND","","","","","","","24FC1025T-I/SN","","*","U?","IC EEPROM 1MBIT 1MHZ 8SOIC"
"24FC512-I/SN","SOIC-8","","","Memory","","24FC512-I/SN","","","","","","","","","","Microchip","","SMD","","","","","","","Digikey","Newark","Avnet","Arrow","Farnell","","","","","24FC512-I/SN-ND","08R2176","24FC512-I/SN","24FC512-I/SN","2318011","","","","","24FC512-I/SN","","*","U?","IC EEPROM 512KBIT 1MHZ 8SOIC"
"74AVC1T45GM,115","XSON-6","","","Logic - Translators","","74AVC1T45GM,115","","","","","","","","","","NXP Semiconductors","","SMD","","","","","","","Digi-Key","","","","","","","","","568-9214-1-ND","","","","","","","","","74AVC1T45GM,115","","*","U?","IC TRANSCEIVER DUAL 3ST 6XSON"
"74AVC4T245BQ,115","VFQFN-16","","","Logic - Translators","","74AVC4T245BQ,115","","","","","","","","","","NXP Semiconductors","","SMD","","","","","","","Digi-Key","","","","","","","","","568-9218-1-ND","","","","","","","","","74AVC4T245BQ,115","","*","U?","IC TXRX 4BIT DUAL 3ST 16DHVQFN"
"74HC573PW,112","TSSOP-20","","","","","74HC573PW,112","","","","","","","","","","Nexperia USA Inc.","","","SMD","","","","","","Digikey","Digi-Key","Newark","Farnell","","","","","","568-10928-6-ND","1727-6438-ND","76C3590","2437009","","","","","","","","","U?","IC LATCH TRANSP OCT D 20TSSOP"
"74HC573PW,118","TSSOP-20","TSSOP-20","","","","74HC573PW,118","","","","","","","","","","Nexperia USA Inc.","","","SMD","","","","","","Digi-Key","Digi-Key","Digi-Key","Digi-Key","Digi-Key","","","","","1727-3069-2-ND","1727-3069-6-ND","1727-6438-ND","1727-1458-1-ND","1727-1458-6-ND","","","","","","","","U?","IC LATCH TRANSP OCT D 20TSSOP"
"78L05","TO-92","","","Regulator","","LM78L05","","","","","","","","","","Texas Instruments","","PTH","","","","","","","","","","","","","","","","","","","","","","","","","78L05","","*","U?","IC 5.0V 100MA REGULATOR TO-92-3"
"A4952ELYTR-T","MSOP-10","","","Driver","","A4952ELYTR-T","","","","","","","","","","Allegro MicroSystems, LLC","","SMD","","","","","","","Allied","Newark","Farnell","Digi-Key","","","","","","R1076651","71T9770","2057419","620-1451-1-ND","","","","","","A4952ELYTR-T","","*","U?","IC MOTOR DRIVER PAR 10MSOP"
"AP2151WG-7","SOT23-5","","","Regulator","","AP2151WG-7","","","","","","","","","","Diodes Incorporated","","SMD","","","","","","","Mouser","Newark","Farnell","Digi-Key","","","","","","621-AP2151WG-7","12T1275","1843872","AP2151WGDICT-ND","","","","","","AP2151WG-7","","*","U?","IC PWR SW USB 1CH 0.5A SOT-23-5"
"BQ24002RGWR","VQFN-20","","","Battery Charger","","BQ24002RGWR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Digi-Key","Mouser","Newark","","","","","","","296-12969-1-ND","595-BQ24002RGWR","24K4381","","","","","","","BQ24002RGWR","","*","U?","IC LI-ION CHARGE MGMT 20VQFN"
"BQ24005PWP","TSSOP-20-PPAD","","","Battery Charger","","BQ24005PWP","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Farnell","Digi-Key","Newark","Mouser","","","","","","1106058","296-9382-5-ND","74C7641","595-BQ24005PWP","","","","","","BQ24005PWP","","*","U?","IC LI-ION CHARGE MGMT 20-HTSSOP"
"BQ24073RGTR","QFN-16 0.5 Pitch","","","Battery Charger","","BQ24073RGTR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Digi-Key","Mouser","Newark","Farnell","","","","","","296-38872-1-ND","595-BQ24073RGTR","84R9382","1754754","","","","","","BQ24073RGTR","","*","U?","IC LI-ION CHARGE MGMT 16-QFN"
"BQ24075RGTR","QFN-16 0.5 Pitch","","","Battery Charger","","BQ24075RGTR","","","","","","","","","","Texas Instruments","","SMD","","","","","","","Arrow","Digikey","Mouser","Newark","Avnet","","","","","BQ24075RGTR**MULT1","296-38874-1-ND","595-BQ24075RGTR","31P7535","BQ24075RGTR","","","","","BQ24075RGTR","","*","U?","IC LI-ION CHARGE MGMT 16-QFN"
"C1608X7R1H474K080AC","C0603_MD","","","*","","C1608X7R1H474K080AC","","","","","","","","","*","TDK Corporation","","SMD","","","","","","","Digi-Key","","","","","","","","","445-5952-1-ND","","","","","","","","","470nF","50V","*","C?","CAP CER 0.47UF 50V 10% X7R 0603"
"CD4011BCMX","SOIC-14","","","Logic Gate","","CD4011BCMX","","","","","","","","","","Fairchild Semiconductor","","SMD","","","","","","","Mouser","Newark","Farnell","Digi-Key","","","","","","512-CD4011BCMX","36K3118","9666311","CD4011BCM-ND","","","","","","CD4011BCMX","","*","U?","IC GATE NAND 4CH 2-INP 14-SOIC"
"CLT3-4BT6-TR","TSSOP-20","","","Circuit Protection","","CLT3-4BT6-TR","","","","","","","","","","STMicroelectronics","","SMD","","","","","","","Digi-Key","","","","","","","","","497-2455-1-ND","","","","","","","","","CLT3-4BT6-TR","","*","U?","TERMINATION QUAD DGTL TSSOP-20"
