"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MOUNT TYPE","POWER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","TOLERANCE","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_POT","","","Part Number","","*","","*","xxW","","","","","","","","","","","","","","","xx%","xxyR","*","R?","Description"
"*MODEL_RES","","","Part Number","","*","","*","xxW","","","","","","","","","","","","","","","xx%","xxyR","*","R?","Description"
"1-1622820-4","R2512_MD","","1-1622820-4","","Rohm Semiconductor","","SMD","1W","Digi-Key","","","","","","","A102507CT-ND","","","","","","","5%","1K","*","R?","RES 1K OHM 1W 5% 2512 SMD"
"1623849-7","TRIMPOT MULT VERT","","1623849-7","","TE Connectivity Passive Product","","PTH","1/2W","Digi-Key","Newark","","","","","","A105771-ND","18R7235","","","","","","10%","1k","*","R?","TRIMMER 1K OHM 0.5W TH"
"311-12KGRCT-ND","R0603_HD","","311-12KGRCT-ND","","Yageo","","SMD","1/10W","Farnell","Digi-Key","Newark","","","","","1799387","311-12KGRCT-ND","68R0149","","","","","1%","12K","*","R?","RES SMD 12K OHM 5% 1/10W 0603"
"311-6.20KHRCT-ND","R0603_HD","","311-6.20KHRCT-ND","","Yageo","","SMD","1/10W","Mouser","Digi-Key","","","","","","603-RC0603FR-076K2L","311-6.20KHRCT-ND","","","","","","1%","6.2K","*","R?","RES SMD 6.2K OHM 1% 1/10W 0603"
"3299W-1-502LF","TRIMPOT MULT VERT","","3299W-1-502LF","","Bourns Inc.","","PTH","1/2W","Farnell","Arrow","Newark","Allied","Digi-Key","Mouser","","9353801","41630185S7049765N1506","32K7947","70153969","3299W-502LF-ND","652-3299W-1-502","","10%","5K","*","R?","TRIMMER 5K OHM 0.5W PTH"
"AC0402FR-0736K5L","R0402_MD","","AC0402FR-0736K5L","","Yageo","","SMD","1/16W","","","","","","","","","","","","","","","1%","36.5k","*","R?","RES SMD 36.5K OHM 1% 1/16W 0402"
"CF14JT100K","RES_AXIAL_0.4","","CF14JT100K","","Stackpole Electronics Inc.","","PTH","1/4W","Digi-Key","","","","","","","CF14JT100KCT-ND","","","","","","","5%","100K","*","R?","RES 100K OHM 1/4W 5% CARBON FILM"
"CF14JT12K0","RES_AXIAL_0.4","","CF14JT12K0","","Stackpole Electronics Inc.","","PTH","1/4W","Digi-Key","","","","","","","CF14JT12K0CT-ND","","","","","","","5%","12K","*","R?","RES 12K OHM 1/4W 5% CARBON FILM"
"CF14JT1M00","RES_AXIAL_0.4","","CF14JT1M00","","Stackpole Electronics Inc.","","PTH","1/4W","Digi-Key","","","","","","","CF14JT1M00CT-ND","","","","","","","5%","1M","*","R?","RES 1M OHM 1/4W 5% CARBON FILM"
"CF14JT20K0","RES_AXIAL_0.4","","CF14JT20K0","","Stackpole Electronics Inc.","","PTH","1/4W","Digi-Key","","","","","","","CF14JT20K0CT-ND","","","","","","","5%","20K","*","R?","RES 20K OHM 1/4W 5% CARBON FILM"
"CFM12JT4R70","RES_AXIAL_0.4","","CFM12JT4R70","","Stackpole Electronics Inc.","","PTH","1/2W","Digi-Key","","","","","","","S4.7HCT-ND","","","","","","","5%","4.7R","*","R?","RES 4.7 OHM 1/2W 5% CF MINI"
"CPF0603B750KE","R0603_MD","","CPF0603B750KE","","TE Connectivity Passive Product","","SMD","1/16W","Digi-Key","","","","","","","A102315CT-ND","","","","","","","0.1%","750k","*","R?","RES SMD 750K OHM 0.1% 1/16W 0603"
"CRA2512-FZ-R050ELF","R2512_MD","","CRA2512-FZ-R050ELF","","Bourns Inc.","","SMD","3W","Arrow","Digi-Key","Newark","","","","","1QV8IENUoueP8K4uRUHPBUnorWqm-4gMHjDhRvvurObjRM-Xpb9FWQC1nzZCAqtM","CRA2512-FZ-R050ELFCT-ND","14P5524","","","","","1%","0.05R","*","R?","RES SMD 0.05 OHM 1% 3W 2512"
"CRA2512-FZ-R100ELF","R2512_MD","","CRA2512-FZ-R100ELF","","Bourns Inc.","","SMD","3W","Newark","Arrow","Digi-Key","","","","","14P5534","1QV8IENUoueP8K4uRUHPBU-Px8d3bFNOElKhHkltt9PjRM-Xpb9FWQC1nzZCAqtM","CRA2512-FZ-R100ELFCT-ND","","","","","1%","0.1R","*","R?","RES SMD 0.1 OHM 1% 3W 2512"
"CRCW06031M33FKEA","R0603_MD","","CRCW06031M33FKEA","","Vishay Dale","","SMD","1/10W","Farnell","Digi-Key","","","","","","2122760","541-1.33MHCT-ND","","","","","","1%","1.33M","*","R?","RES SMD 1.33M OHM 1% 1/10W 0603"
"CRCW060338K3FKEA","R0603_MD","","CRCW060338K3FKEA","","Vishay Dale","","SMD","1/10W","Farnell","Digi-Key","Allied","Newark","Mouser","","","1151972","541-38.3KHCT-ND","70203442","52K8469","71-CRCW0603-38.3K-E3","","","1%","38.3k","*","R?","RES 38.3K OHM 1/10W 1% 0603 SMD"
"CRCW06033M57FKEA","R0603_MD","","CRCW06033M57FKEA","","Vishay Dale","","SMD","1/10W","Mouser","Newark","Digi-Key","Farnell","","","","71-CRCW0603-3.57M-E3","47P3556","541-3.57MHCT-ND","2316366","","","","1%","3.57M","*","R?","RES 3.57M OHM 1/10W 1% 0603 SMD"
"CRCW060350R0FKEA","R0603_HD","","CRCW060350R0FKEA","","Vishay Dale","","SMD","1/10W","Digi-Key","","","","","","","541-3318-1-ND","","","","","","","1%","50R","*","R?","RES SMD 50 OHM 1% 1/10W 0603"
