"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","CATEGORY","COMMENT","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"ESP8266","ESP8206","","","ESP8266","Espressif","PTH","Digi-Key","","","","","1597-1145-ND","","","","","ESP8266","*","W?","WiFi Module"
"G24","G24","","","0529910708","Molex Inc","SMD","*","","","","","Itech","","","","","","*","M?","MODEM TELIT GSM - CONN RECEPT 70POS 3MM SMD .5MM"
"GL865","GL865","GL865","","GL865-QUAD","Telit","SMD","Itech","","","","","*","","","","","","*","M?","MODEM TELIT GSM"
"GY-521","GY-521","","","GY-521","*","PTH","","","","","","","","","","","GY-521","*","S?","Accelerometer Gyroscope Module"
"JN3.B3A2","JN3","","*","JN3.B3A2","Telit","SMD","Itech","","","","","*","","","","","JN3.B3A2","*","U?","IC GPS"
"RASPBERRY PI 3 MODEL B","RaspBerry Pi 3","","","SFH11-PBPC-D20-ST-BK","Sullins Connector Solutions","PTH","Digi-Key","","","","","S9200-ND","","","","","RaspberryPi 3 Model B","*","M?","40 Position Header Connector 0.100" (2.54mm) Through Hole Gold"
"SE3210A00","SE3210A","","","DF12-30DS-0.5V(86)","Hirose Electric Co Ltd","","Newark","Farnell","Digi-Key","Mouser","","34M5524","1324622","H5215CT-ND","798-DF1230DS05V48","","DF12-30DS-0.5V(86)","*","RFID?","HID iCLASS SE RFID Reader Module"
"TORRE G24","","","","0000266-6","Itech","PTH","Itech","","","","","*","","","","","","*","M?","G24 SPACER"
"UL865","GL865","","","UL865-QUAD","Telit","SMD","Itech","","","","","*","","","","","","*","M?","MODEM TELIT GSM 3G"
"VAR_SOM_AM335x","DDR1-DDR2 SODIMM SOCKET","","","1565917-4","TE Connectivity AMP Connectors","SMD","Arrow","Farnell","Newark","Mouser","Digi-Key","1565917-4**MULT1","2112525","08P0616","571-1565917-4","A97498CT-ND","1565917-4","*","M?","VAR_SOM_AM335x - CONN SKT SODIMM 200POS R/A SMD"
