"LIBRARYREFERENCE","FOOTPRINT1","ACTION","CIRCUIT","COMMENT","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_DPDT","","*","*","Part Number","*","*","","","","","","","","","","","","","*","*","SW?","Description"
"*MODEL_DPST","","*","*","Part Number","*","*","","","","","","","","","","","","","*","*","SW?","Description"
"*MODEL_SPDT","","*","*","Part Number","*","*","","","","","","","","","","","","","*","*","SW?","Description"
"*MODEL_SPST","","*","*","Part Number","*","*","","","","","","","","","","","","","*","*","SW?","Description"
"1-1825027-1","TACT SWITCH 7,1X7X8,35MM - VERT","Momentary","SPST","1-1825027-1","TE Connectivity Alcoswitch Switches","PTH","Digi-Key","Newark","Arrow","","","","450-1658-ND","40P4336","4X5kR739yIcOi_OerhqPTVXcRddc9kBHfFB879KwgAY","","","","","*","SW?","Tactile Switch SPST-NO Side Actuated Through Hole, Right Angle"
"1825027-8","TACT SWITCH 7,1X7X5,85MM - VERT","Momentary","SPST","1825027-8","TE Connectivity Alcoswitch Switches","PTH","Digi-Key","Allied","Farnell","Arrow","Newark","","450-1657-ND","70286944","2610944","7bW_pWxXzYSDzyRh2ci3ut25d8h3FoYxz5i0slCZrhQ","78R8645","","","*","SW?","Tactile Switch SPST-NO Side Actuated Through Hole, Right Angle"
"1825910-7","TACT SWITCH 6X6X4,3MM","Momentary","SPST","1825910-7","TE Connectivity Alcoswitch Switches","PTH","Mouser","Digi-Key","Farnell","","","","506-FSM4JAH","450-1804-ND","2469959","","","","","*","SW?","SWITCH TACTILE SPST-NO 0.05A 24V"
"218-6LPST","218-6LPST","Latched","SPST","218-6LPST","TE Connectivity","SMD","Mouser","Digi-Key","","","","","774-2186LPST","CT2186LPST-ND","","","","","","*","SW?","SWITCH DIP HALF PITCH 6POS"
"434123050836","4341x30508x6","Momentary","SPST","434123050836","Wurth Electronics Inc.","SMD","Farnell","Digi-Key","Farnell","Digi-Key","Farnell","Farnell","2459527","732-7054-1-ND","9471898","732-7054-6-ND","2079577","2079521","","*","SW?","SWITCH TACTILE SPST-NO 0.05A 12V"
"ADF04S04","ADF04S04","Latched","SPST","ADF04S04","TE Connectivity","SMD","Newark","Mouser","Allied","Digi-Key","","","21R1948","506-ADF04S04","70288277","1-1825059-3-ND","","","","*","SW?","SWITCH DIP SPST FLUSH 4POS SMD"
"CL-DA-1CB4-A2T","SWITCH DETECT CL-DA-1CB4-A2T","Momentary","SPST-NO","CL-DA-1CB4-A2T","Copal Electronics Inc","SMD","Digi-Key","","","","","","563-1306-1-ND","","","","","","","*","SW?","SWITCH DETECT SPST-NO 0.1A 12V"
"PN22SJNA03QE","PN22SJNA03QE","Latched","DPDT","PN22SJNA03QE","C&K Components","PTH","Mouser","Arrow","Newark","Digi-Key","","","611-PN22SJNA03QE","43423722S8966246N9444","39M0771","CKN1191-ND","","","","*","SW?","SWITCH PUSH DPDT 0.2A 30V"
"PTS636SM25SMTRLFS","PTS636SM25SMTRLFS","Momentary","SPST","PTS636SM25SMTRLFS","C&K","SMD","","","","","","","","","","","","","PTS636SM25SMTRLFS","*","SW?","TACT 6.0 X 3.5, 2.5 MM H, 180GF,"
